play_id,title,ExitVelocity,HitDistance,LaunchAngle,video
148e943b-10db-4d71-943d-ead3b36bebbc,Freddie Freeman homers (1) on a fly ball to center field.   Shohei Ohtani scores.,101.7,408.81971,33,https://sporty-clips.mlb.com/eVozQWVfWGw0TUFRPT1fQndWWkFWMEFWVkFBQ1ZKV0JBQUFWUUZYQUZnQlVBVUFWd1JSQTFFR0IxRUFVbEFG.mp4
d4116f91-e362-4261-a7d0-fc02f0eeb67b,Mookie Betts homers (2) on a fly ball to left field.,104.6,406.3992345,28,https://sporty-clips.mlb.com/eVozQWVfWGw0TUFRPT1fVWdWUVZWSlNYd01BWFZFRVZBQUFBd0JYQUFBQ0IxRUFWQVlGQWxVRlZGWUhCZ1VF.mp4
2d6363ad-8ff2-49cc-bf21-d8cdfdc55999,George Springer homers (1) on a fly ball to left center field.,100.3,391.5873258,26,https://sporty-clips.mlb.com/WmU5ZDhfWGw0TUFRPT1fQkZWWFYxSUhCMVlBQUFSVVZBQUFDRlVGQUFOVFVWQUFWbDFXVkZWUlVnWlFDUXRm.mp4
e97b2fb3-a7b9-4a4b-812a-f1204437a06f,Paul Goldschmidt homers (1) on a fly ball to left field.,101.8,401.0817003,28,https://sporty-clips.mlb.com/eVozQWVfWGw0TUFRPT1fVXdoV0JsWlNCQUVBV1ZWUVh3QUFVQUlFQUZrRVVRQUFWRlFIQUFjQkFnUUVBQVFB.mp4
3423ed8c-5945-46e0-89f4-d6ed2baf5696,Nick Martini homers (2) on a fly ball to right center field.    Elly De La Cruz scores.    Spencer Steer scores.,100.8,389.299792,23,https://sporty-clips.mlb.com/a1puZ0JfWGw0TUFRPT1fQlFWVFZ3RlFYbEVBRFZzR1V3QUFCMU5XQUZrTUJWVUFWbE5RVkFGWFVGVlFCZ3RR.mp4
d9e7853b-fa1a-4245-9c46-f3ebfba15b90,Royce Lewis homers (1) on a fly ball to left center field.,104.2,422.7245403,30,https://sporty-clips.mlb.com/YUs5d0RfWGw0TUFRPT1fVWdnRVUxd0JWVkFBWGdNREJ3QUFBd0pUQUZoV1YxY0FWRlpRVWxWWFVBSlFVZ3RX.mp4
8eceab81-98eb-4e64-bcb2-dc428e04ffce,Mookie Betts homers (1) on a fly ball to left center field.   Jason Heyward scores.,101.5,400.425543,29,https://sporty-clips.mlb.com/QVlNR2dfWGw0TUFRPT1fRGxRQ0FRVldYZ01BQVZwWEJBQUFWQUJTQUFOV0FWTUFWZ1lCQWd0UUFRY0RWbEVE.mp4
684fde7c-296a-4cb8-b258-dd2df2007edd,Manny Machado homers (1) on a fly ball to left field.   Fernando Tatis Jr.  scores.    Jake Cronenworth scores.,107.7,394.5725108,25,https://sporty-clips.mlb.com/QVlNR2dfWGw0TUFRPT1fQUFsVkFnQlJVVkVBQ2xzRUJ3QUFVbFJlQUFNSFZsa0FWZ0VIVkZVSEFRTlNWVllD.mp4
e8dd8bef-5cfa-4980-81f7-5a6b4c60e1b3,J.P. Crawford homers (6) on a fly ball to right center field.,105.1,429.2829806,25,https://sporty-clips.mlb.com/S3d2UmpfWGw0TUFRPT1fVXdrRkFGeFdBMVFBRFFGVUJ3QUFDQTVXQUZrRUJWWUFCd1FEVWdkV0J3TUFBVkJW.mp4
38dd35e7-aaff-45d3-9bfd-1ab8252d44d3,Bryan Reynolds homers (4) on a fly ball to left field.   Alika Williams scores.,109.1,387,27,https://sporty-clips.mlb.com/TndneGtfWGw0TUFRPT1fQlFrRkFGY0JBd1VBV1FOVUFBQUFCRkpWQUZoWEJRVUFBd1JYQ0FFQUExZFJCRlpW.mp4
