team_id;team_name;players
108;Los Angeles Angels;Anthony Rendon,Ben Joyce,Brock Burke,Caden Dana,Chase Silseth,Chuckie Robinson,Garrett McDaniels,Gustavo Campero,Hans Crouse,Jack Dashwood,Jack Kochanowicz,Jo Adell,Jorge Soler,José Quijada,José Soriano,José Suarez,Kelvin Caceres,Kevin Newman,Kyle Hendricks,Kyren Paris,Logan O'Hoppe,Luis Rengifo,Matthew Lugo,Mickey Moniak,Mike Trout,Niko Kavadas,Nolan Schanuel,Reid Detmers,Robert Stephenson,Ryan Noda,Ryan Zeferjahn,Sam Aldegheri,Sam Bachman,Scott Kingery,Taylor Ward,Travis d'Arnaud,Tyler Anderson,Victor Mederos,Yusei Kikuchi,Zach Neto
109;Arizona Diamondbacks;
110;Baltimore Orioles;
111;Boston Red Sox;
112;Chicago Cubs;
113;Cincinnati Reds;
114;Cleveland Guardians;
115;Colorado Rockies;
116;Detroit Tigers;
117;Houston Astros;
118;Kansas City Royals;
119;Los Angeles Dodgers;Alex Vesia,Andy Pages,Anthony Banda,Austin Barnes,Ben Casparius,Blake Snell,Blake Treinen,Bobby Miller,Brusdar Graterol,Chris Taylor,Diego Cartaya,Dustin May,Edgardo Henriquez,Emmet Sheehan,Evan Phillips,Freddie Freeman,Gavin Lux,Gavin Stone,Hunter Feduccia,Jack Dreyer,James Outman,Justin Wrobleski,Kyle Hurt,Landon Knack,Max Muncy,Michael Conforto,Michael Grove,Michael Kopech,Miguel Rojas,Mookie Betts,Nick Frasso,River Ryan,Ryan Brasier,Shohei Ohtani,Tommy Edman,Tony Gonsolin,Tyler Glasnow,Will Smith,Yoshinobu Yamamoto
120;Washington Nationals;
121;New York Mets;
133;Athletics;
134;Pittsburgh Pirates;
135;San Diego Padres;
136;Seattle Mariners;
137;San Francisco Giants;
138;St. Louis Cardinals;
139;Tampa Bay Rays;
140;Texas Rangers;
141;Toronto Blue Jays;
142;Minnesota Twins;
143;Philadelphia Phillies;
144;Atlanta Braves;
145;Chicago White Sox;
146;Miami Marlins;
147;New York Yankees;
158;Milwaukee Brewers;
